# train-ticket 10 分钟基线第二次（run-id audit-tt-baseline-0918-r2，09:19–09:29 UTC，profile baseline：search 60%/login 10%/order 30%，1 并发、目标 1 QPS）
rows 1500 fields ['timeStamp', 'elapsed', 'label', 'responseCode', 'responseMessage', 'threadName', 'dataType', 'success', 'failureMessage', 'bytes', 'sentBytes', 'grpThreads', 'allThreads', 'URL', 'Latency', 'IdleTime', 'Connect']
label | n | fail | p50 | p95 | max | first5_elapsed
cleanup-order | 180 | 0 | 59 | 91 | 1320 | [203, 123, 96, 99, 97]
contacts | 180 | 0 | 15 | 23 | 92 | [28, 92, 28, 23, 25]
login | 240 | 0 | 103 | 111 | 846 | [126, 115, 118, 114, 116]
preserve-order | 180 | 0 | 211 | 333 | 1449 | [383, 445, 370, 369, 382]
query-order | 180 | 0 | 15 | 24 | 110 | [102, 110, 26, 23, 28]
search-trips | 540 | 0 | 84 | 139 | 194 | [186, 185, 194, 161, 181]
failures by (label, code): {}
timeline (10s buckets): bucket_start_s n p95 max fails
0 31 383 445 0
10 30 382 391 0
20 25 333 356 0
30 25 325 846 0
40 20 286 297 0
50 25 306 1449 0
60 20 272 323 0
70 25 300 332 0
80 20 282 313 0
90 29 1113 1320 0
100 31 261 286 0
110 30 247 263 0
120 25 256 278 0
130 25 252 278 0
140 20 224 233 0
150 25 255 269 0
160 20 222 243 0
170 25 251 263 0
180 20 215 218 0
190 30 220 227 0
200 30 233 235 0
210 30 217 227 0
220 25 206 215 0
230 25 205 228 0
240 20 200 235 0
250 25 208 216 0
260 20 207 211 0
270 25 212 221 0
280 20 203 213 0
290 30 227 247 0
300 30 236 275 0
310 30 230 257 0
320 25 206 229 0
330 25 192 228 0
340 20 186 265 0
350 25 215 216 0
360 20 209 210 0
370 25 185 204 0
380 20 191 196 0
390 30 188 218 0
400 30 202 208 0
410 30 213 244 0
420 25 188 222 0
430 25 180 195 0
440 20 167 185 0
450 25 180 194 0
460 20 156 192 0
470 25 180 202 0
480 20 173 189 0
490 30 183 244 0
500 30 172 198 0
510 30 171 187 0
520 25 165 178 0
530 25 174 190 0
540 20 187 218 0
550 25 177 194 0
560 20 160 172 0
570 25 171 179 0
580 20 168 170 0
590 29 174 186 0
slowest: [('preserve-order', 1449, '200', 53), ('cleanup-order', 1320, '200', 99), ('cleanup-order', 1113, '200', 93), ('login', 846, '200', 33), ('preserve-order', 445, '200', 1), ('preserve-order', 391, '200', 15), ('preserve-order', 383, '200', 0), ('preserve-order', 382, '200', 14), ('preserve-order', 370, '200', 4), ('preserve-order', 369, '200', 7), ('preserve-order', 356, '200', 23), ('preserve-order', 341, '200', 19)]
